habitat,eventID,organismQuantity,occurrenceID,basisOfRecord
Eryngium campestre,Askaniia_Nova_1441,r,Askaniia_Nova_1441_010,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1441,r,Askaniia_Nova_1441_011,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1441,r,Askaniia_Nova_1441_012,HumanObservation
Festuca valesiaca,Askaniia_Nova_1441,3,Askaniia_Nova_1441_013,HumanObservation
Galatella villosa,Askaniia_Nova_1441,r,Askaniia_Nova_1441_014,HumanObservation
Galium ruthenicum,Askaniia_Nova_1441,r,Askaniia_Nova_1441_015,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1441,r,Askaniia_Nova_1441_016,HumanObservation
Iris pumila,Askaniia_Nova_1441,r,Askaniia_Nova_1441_017,HumanObservation
Koeleria cristata,Askaniia_Nova_1441,2,Askaniia_Nova_1441_018,HumanObservation
Limonium sareptanum,Askaniia_Nova_1441,r,Askaniia_Nova_1441_019,HumanObservation
Linaria biebersteinii,Askaniia_Nova_1441,r,Askaniia_Nova_1441_020,HumanObservation
Linum austriacum,Askaniia_Nova_1441,r,Askaniia_Nova_1441_021,HumanObservation
Phlomis pungens,Askaniia_Nova_1441,r,Askaniia_Nova_1441_022,HumanObservation
Seseli tortuosum,Askaniia_Nova_1441,r,Askaniia_Nova_1441_023,HumanObservation
Silene wolgensis,Askaniia_Nova_1441,r,Askaniia_Nova_1441_024,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1441,r,Askaniia_Nova_1441_025,HumanObservation
Stipa capillata,Askaniia_Nova_1441,r,Askaniia_Nova_1441_026,HumanObservation
Stipa lessingiana,Askaniia_Nova_1441,2,Askaniia_Nova_1441_027,HumanObservation
Stipa ucrainica,Askaniia_Nova_1441,2,Askaniia_Nova_1441_028,HumanObservation
Tanacetum millefolium,Askaniia_Nova_1441,r,Askaniia_Nova_1441_029,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1442,r,Askaniia_Nova_1442_001,HumanObservation
Artemisia austriaca,Askaniia_Nova_1442,r,Askaniia_Nova_1442_002,HumanObservation
Carduus uncinatus,Askaniia_Nova_1442,r,Askaniia_Nova_1442_003,HumanObservation
Carex stenophylla,Askaniia_Nova_1442,r,Askaniia_Nova_1442_004,HumanObservation
Consolida paniculata,Askaniia_Nova_1442,r,Askaniia_Nova_1442_005,HumanObservation
Dianthus andrzejowskianus,Askaniia_Nova_1442,r,Askaniia_Nova_1442_006,HumanObservation
Dianthus pallens,Askaniia_Nova_1442,r,Askaniia_Nova_1442_007,HumanObservation
Eryngium campestre,Askaniia_Nova_1442,r,Askaniia_Nova_1442_008,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1442,r,Askaniia_Nova_1442_009,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1442,r,Askaniia_Nova_1442_010,HumanObservation
Festuca valesiaca,Askaniia_Nova_1442,3,Askaniia_Nova_1442_011,HumanObservation
Galatella villosa,Askaniia_Nova_1442,r,Askaniia_Nova_1442_012,HumanObservation
Galium ruthenicum,Askaniia_Nova_1442,r,Askaniia_Nova_1442_013,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1442,r,Askaniia_Nova_1442_014,HumanObservation
Iris pumila,Askaniia_Nova_1442,r,Askaniia_Nova_1442_015,HumanObservation
Koeleria cristata,Askaniia_Nova_1442,2,Askaniia_Nova_1442_016,HumanObservation
Limonium sareptanum,Askaniia_Nova_1442,r,Askaniia_Nova_1442_017,HumanObservation
Linaria biebersteinii,Askaniia_Nova_1442,r,Askaniia_Nova_1442_018,HumanObservation
Linum austriacum,Askaniia_Nova_1442,r,Askaniia_Nova_1442_019,HumanObservation
Phlomis pungens,Askaniia_Nova_1442,r,Askaniia_Nova_1442_020,HumanObservation
Salvia aethiopis,Askaniia_Nova_1442,r,Askaniia_Nova_1442_021,HumanObservation
Seseli tortuosum,Askaniia_Nova_1442,r,Askaniia_Nova_1442_022,HumanObservation
Silene wolgensis,Askaniia_Nova_1442,r,Askaniia_Nova_1442_023,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1442,r,Askaniia_Nova_1442_024,HumanObservation
Stipa capillata,Askaniia_Nova_1442,r,Askaniia_Nova_1442_025,HumanObservation
Stipa lessingiana,Askaniia_Nova_1442,2,Askaniia_Nova_1442_026,HumanObservation
Stipa ucrainica,Askaniia_Nova_1442,2,Askaniia_Nova_1442_027,HumanObservation
Tanacetum millefolium,Askaniia_Nova_1442,r,Askaniia_Nova_1442_028,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_001,HumanObservation
Allium guttatum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_002,HumanObservation
Allium paczoskianum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_003,HumanObservation
Arenaria uralensis,Askaniia_Nova_1443,r,Askaniia_Nova_1443_004,HumanObservation
Artemisia austriaca,Askaniia_Nova_1443,r,Askaniia_Nova_1443_005,HumanObservation
Astomum crispum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_006,HumanObservation
Bryum species,Askaniia_Nova_1443,r,Askaniia_Nova_1443_007,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1443,r,Askaniia_Nova_1443_008,HumanObservation
Cardaria draba,Askaniia_Nova_1443,r,Askaniia_Nova_1443_009,HumanObservation
Carduus uncinatus,Askaniia_Nova_1443,r,Askaniia_Nova_1443_010,HumanObservation
Carex praecox,Askaniia_Nova_1443,r,Askaniia_Nova_1443_011,HumanObservation
Carex stenophylla,Askaniia_Nova_1443,r,Askaniia_Nova_1443_012,HumanObservation
Centaurea diffusa,Askaniia_Nova_1443,r,Askaniia_Nova_1443_013,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_014,HumanObservation
Chondrilla juncea,Askaniia_Nova_1443,r,Askaniia_Nova_1443_015,HumanObservation
Cladonia fimbriata,Askaniia_Nova_1443,r,Askaniia_Nova_1443_016,HumanObservation
Cladonia rangiformis,Askaniia_Nova_1443,r,Askaniia_Nova_1443_017,HumanObservation
Consolida paniculata,Askaniia_Nova_1443,r,Askaniia_Nova_1443_018,HumanObservation
Crepis ramosissima,Askaniia_Nova_1443,r,Askaniia_Nova_1443_019,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1443,r,Askaniia_Nova_1443_020,HumanObservation
Dianthus andrzejowskianus,Askaniia_Nova_1443,r,Askaniia_Nova_1443_021,HumanObservation
Dianthus pallens,Askaniia_Nova_1443,r,Askaniia_Nova_1443_022,HumanObservation
Erophila verna,Askaniia_Nova_1443,r,Askaniia_Nova_1443_023,HumanObservation
Eryngium campestre,Askaniia_Nova_1443,r,Askaniia_Nova_1443_024,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_1443,r,Askaniia_Nova_1443_025,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1443,r,Askaniia_Nova_1443_026,HumanObservation
Ferula caspica,Askaniia_Nova_1443,r,Askaniia_Nova_1443_027,HumanObservation
Festuca valesiaca,Askaniia_Nova_1443,3,Askaniia_Nova_1443_028,HumanObservation
Galatella villosa,Askaniia_Nova_1443,r,Askaniia_Nova_1443_029,HumanObservation
Galium ruthenicum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_030,HumanObservation
Galium spurium,Askaniia_Nova_1443,r,Askaniia_Nova_1443_031,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_032,HumanObservation
Holosteum umbellatum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_033,HumanObservation
Koeleria cristata,Askaniia_Nova_1443,1,Askaniia_Nova_1443_034,HumanObservation
Lactuca serriola,Askaniia_Nova_1443,r,Askaniia_Nova_1443_035,HumanObservation
Myosotis micrantha,Askaniia_Nova_1443,r,Askaniia_Nova_1443_036,HumanObservation
Onosma subtinctoria,Askaniia_Nova_1443,r,Askaniia_Nova_1443_037,HumanObservation
Pastinaca clausii,Askaniia_Nova_1443,r,Askaniia_Nova_1443_038,HumanObservation
Phlomis pungens,Askaniia_Nova_1443,r,Askaniia_Nova_1443_039,HumanObservation
Poa angustifolia,Askaniia_Nova_1443,r,Askaniia_Nova_1443_040,HumanObservation
Potentilla recta,Askaniia_Nova_1443,r,Askaniia_Nova_1443_041,HumanObservation
Ranunculus illyricus,Askaniia_Nova_1443,r,Askaniia_Nova_1443_042,HumanObservation
Ranunculus oxyspermus,Askaniia_Nova_1443,r,Askaniia_Nova_1443_043,HumanObservation
Salvia aethiopis,Askaniia_Nova_1443,r,Askaniia_Nova_1443_044,HumanObservation
Scorzonera mollis,Askaniia_Nova_1443,r,Askaniia_Nova_1443_045,HumanObservation
Senecio jacobaea,Askaniia_Nova_1443,r,Askaniia_Nova_1443_046,HumanObservation
Serratula erucifolia,Askaniia_Nova_1443,r,Askaniia_Nova_1443_047,HumanObservation
Seseli tortuosum,Askaniia_Nova_1443,+,Askaniia_Nova_1443_048,HumanObservation
Silene viscosa,Askaniia_Nova_1443,r,Askaniia_Nova_1443_049,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_050,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_051,HumanObservation
Stipa capillata,Askaniia_Nova_1443,+,Askaniia_Nova_1443_052,HumanObservation
Stipa lessingiana,Askaniia_Nova_1443,2,Askaniia_Nova_1443_053,HumanObservation
Stipa ucrainica,Askaniia_Nova_1443,2,Askaniia_Nova_1443_054,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_055,HumanObservation
Tortula ruralis,Askaniia_Nova_1443,r,Askaniia_Nova_1443_056,HumanObservation
Trifolium arvense,Askaniia_Nova_1443,r,Askaniia_Nova_1443_057,HumanObservation
Valerianella costata,Askaniia_Nova_1443,r,Askaniia_Nova_1443_058,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_1443,r,Askaniia_Nova_1443_059,HumanObservation
Veronica arvensis,Askaniia_Nova_1443,r,Askaniia_Nova_1443_060,HumanObservation
Veronica verna,Askaniia_Nova_1443,r,Askaniia_Nova_1443_061,HumanObservation
Viola kitaibeliana,Askaniia_Nova_1443,r,Askaniia_Nova_1443_062,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_001,HumanObservation
Anthemis ruthenica,Askaniia_Nova_1444,r,Askaniia_Nova_1444_002,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_1444,r,Askaniia_Nova_1444_003,HumanObservation
Arenaria uralensis,Askaniia_Nova_1444,r,Askaniia_Nova_1444_004,HumanObservation
Artemisia austriaca,Askaniia_Nova_1444,r,Askaniia_Nova_1444_005,HumanObservation
Astomum crispum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_006,HumanObservation
Bryum species,Askaniia_Nova_1444,r,Askaniia_Nova_1444_007,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1444,r,Askaniia_Nova_1444_008,HumanObservation
Camelina microcarpa,Askaniia_Nova_1444,r,Askaniia_Nova_1444_009,HumanObservation
Cardaria draba,Askaniia_Nova_1444,r,Askaniia_Nova_1444_010,HumanObservation
Carduus uncinatus,Askaniia_Nova_1444,r,Askaniia_Nova_1444_011,HumanObservation
Carex praecox,Askaniia_Nova_1444,r,Askaniia_Nova_1444_012,HumanObservation
Carex stenophylla,Askaniia_Nova_1444,r,Askaniia_Nova_1444_013,HumanObservation
Centaurea diffusa,Askaniia_Nova_1444,r,Askaniia_Nova_1444_014,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_015,HumanObservation
Chondrilla juncea,Askaniia_Nova_1444,r,Askaniia_Nova_1444_016,HumanObservation
Consolida paniculata,Askaniia_Nova_1444,r,Askaniia_Nova_1444_017,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1444,r,Askaniia_Nova_1444_018,HumanObservation
Crepis ramosissima,Askaniia_Nova_1444,r,Askaniia_Nova_1444_019,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1444,r,Askaniia_Nova_1444_020,HumanObservation
Dianthus andrzejowskianus,Askaniia_Nova_1444,r,Askaniia_Nova_1444_021,HumanObservation
Dianthus pallens,Askaniia_Nova_1444,r,Askaniia_Nova_1444_022,HumanObservation
Erophila verna,Askaniia_Nova_1444,r,Askaniia_Nova_1444_023,HumanObservation
Eryngium campestre,Askaniia_Nova_1444,r,Askaniia_Nova_1444_024,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_1444,r,Askaniia_Nova_1444_025,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1444,r,Askaniia_Nova_1444_026,HumanObservation
Ferula caspica,Askaniia_Nova_1444,r,Askaniia_Nova_1444_027,HumanObservation
Festuca valesiaca,Askaniia_Nova_1444,3,Askaniia_Nova_1444_028,HumanObservation
Galatella villosa,Askaniia_Nova_1444,r,Askaniia_Nova_1444_029,HumanObservation
Galium ruthenicum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_030,HumanObservation
Galium spurium,Askaniia_Nova_1444,r,Askaniia_Nova_1444_031,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_032,HumanObservation
Holosteum umbellatum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_033,HumanObservation
Koeleria cristata,Askaniia_Nova_1444,1,Askaniia_Nova_1444_034,HumanObservation
Lactuca serriola,Askaniia_Nova_1444,r,Askaniia_Nova_1444_035,HumanObservation
Linaria biebersteinii,Askaniia_Nova_1444,r,Askaniia_Nova_1444_036,HumanObservation
Medicago romanica,Askaniia_Nova_1444,r,Askaniia_Nova_1444_037,HumanObservation
Myosotis micrantha,Askaniia_Nova_1444,r,Askaniia_Nova_1444_038,HumanObservation
Pastinaca clausii,Askaniia_Nova_1444,r,Askaniia_Nova_1444_039,HumanObservation
Phlomis pungens,Askaniia_Nova_1444,r,Askaniia_Nova_1444_040,HumanObservation
Poa angustifolia,Askaniia_Nova_1444,+,Askaniia_Nova_1444_041,HumanObservation
Polygonum novoascanicum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_042,HumanObservation
Potentilla recta,Askaniia_Nova_1444,r,Askaniia_Nova_1444_043,HumanObservation
Ranunculus illyricus,Askaniia_Nova_1444,r,Askaniia_Nova_1444_044,HumanObservation
Ranunculus oxyspermus,Askaniia_Nova_1444,r,Askaniia_Nova_1444_045,HumanObservation
Salvia aethiopis,Askaniia_Nova_1444,r,Askaniia_Nova_1444_046,HumanObservation
Scorzonera mollis,Askaniia_Nova_1444,r,Askaniia_Nova_1444_047,HumanObservation
Senecio jacobaea,Askaniia_Nova_1444,r,Askaniia_Nova_1444_048,HumanObservation
Serratula erucifolia,Askaniia_Nova_1444,r,Askaniia_Nova_1444_049,HumanObservation
Seseli tortuosum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_050,HumanObservation
Silene viscosa,Askaniia_Nova_1444,r,Askaniia_Nova_1444_051,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_052,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_053,HumanObservation
Stipa capillata,Askaniia_Nova_1444,+,Askaniia_Nova_1444_054,HumanObservation
Stipa lessingiana,Askaniia_Nova_1444,2,Askaniia_Nova_1444_055,HumanObservation
Stipa ucrainica,Askaniia_Nova_1444,2,Askaniia_Nova_1444_056,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_057,HumanObservation
Trifolium arvense,Askaniia_Nova_1444,r,Askaniia_Nova_1444_058,HumanObservation
Valerianella costata,Askaniia_Nova_1444,r,Askaniia_Nova_1444_059,HumanObservation
Ventenata dubia,Askaniia_Nova_1444,r,Askaniia_Nova_1444_060,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_1444,r,Askaniia_Nova_1444_061,HumanObservation
Veronica arvensis,Askaniia_Nova_1444,r,Askaniia_Nova_1444_062,HumanObservation
Veronica verna,Askaniia_Nova_1444,r,Askaniia_Nova_1444_063,HumanObservation
Viola kitaibeliana,Askaniia_Nova_1444,r,Askaniia_Nova_1444_064,HumanObservation
Achillea nobilis,Askaniia_Nova_1445,r,Askaniia_Nova_1445_001,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_002,HumanObservation
Anthemis ruthenica,Askaniia_Nova_1445,r,Askaniia_Nova_1445_003,HumanObservation
Arenaria uralensis,Askaniia_Nova_1445,r,Askaniia_Nova_1445_004,HumanObservation
Artemisia austriaca,Askaniia_Nova_1445,r,Askaniia_Nova_1445_005,HumanObservation
Bromus squarrosus,Askaniia_Nova_1445,r,Askaniia_Nova_1445_006,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1445,r,Askaniia_Nova_1445_007,HumanObservation
Camelina microcarpa,Askaniia_Nova_1445,r,Askaniia_Nova_1445_008,HumanObservation
Cardaria draba,Askaniia_Nova_1445,r,Askaniia_Nova_1445_009,HumanObservation
Carduus uncinatus,Askaniia_Nova_1445,r,Askaniia_Nova_1445_010,HumanObservation
Carex praecox,Askaniia_Nova_1445,r,Askaniia_Nova_1445_011,HumanObservation
Carex stenophylla,Askaniia_Nova_1445,r,Askaniia_Nova_1445_012,HumanObservation
Centaurea diffusa,Askaniia_Nova_1445,r,Askaniia_Nova_1445_013,HumanObservation
Chenopodium album,Askaniia_Nova_1445,r,Askaniia_Nova_1445_014,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1445,r,Askaniia_Nova_1445_015,HumanObservation
Crepis ramosissima,Askaniia_Nova_1445,r,Askaniia_Nova_1445_016,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1445,r,Askaniia_Nova_1445_017,HumanObservation
Dianthus andrzejowskianus,Askaniia_Nova_1445,r,Askaniia_Nova_1445_018,HumanObservation
Dianthus pallens,Askaniia_Nova_1445,r,Askaniia_Nova_1445_019,HumanObservation
Eryngium campestre,Askaniia_Nova_1445,r,Askaniia_Nova_1445_020,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1445,r,Askaniia_Nova_1445_021,HumanObservation
Ferula caspica,Askaniia_Nova_1445,r,Askaniia_Nova_1445_022,HumanObservation
Festuca valesiaca,Askaniia_Nova_1445,3,Askaniia_Nova_1445_023,HumanObservation
Galatella villosa,Askaniia_Nova_1445,r,Askaniia_Nova_1445_024,HumanObservation
Galium ruthenicum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_025,HumanObservation
Galium spurium,Askaniia_Nova_1445,r,Askaniia_Nova_1445_026,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_027,HumanObservation
Koeleria cristata,Askaniia_Nova_1445,1,Askaniia_Nova_1445_028,HumanObservation
Lactuca serriola,Askaniia_Nova_1445,r,Askaniia_Nova_1445_029,HumanObservation
Lappula squarrosa,Askaniia_Nova_1445,r,Askaniia_Nova_1445_030,HumanObservation
Limonium sareptanum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_031,HumanObservation
Linaria biebersteinii,Askaniia_Nova_1445,r,Askaniia_Nova_1445_032,HumanObservation
Medicago romanica,Askaniia_Nova_1445,r,Askaniia_Nova_1445_033,HumanObservation
Pastinaca clausii,Askaniia_Nova_1445,r,Askaniia_Nova_1445_034,HumanObservation
Phlomis pungens,Askaniia_Nova_1445,+,Askaniia_Nova_1445_035,HumanObservation
Poa angustifolia,Askaniia_Nova_1445,+,Askaniia_Nova_1445_036,HumanObservation
Polygonum novoascanicum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_037,HumanObservation
Potentilla recta,Askaniia_Nova_1445,r,Askaniia_Nova_1445_038,HumanObservation
Salvia aethiopis,Askaniia_Nova_1445,r,Askaniia_Nova_1445_039,HumanObservation
Serratula erucifolia,Askaniia_Nova_1445,r,Askaniia_Nova_1445_040,HumanObservation
Seseli tortuosum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_041,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_042,HumanObservation
Stipa capillata,Askaniia_Nova_1445,+,Askaniia_Nova_1445_043,HumanObservation
Stipa lessingiana,Askaniia_Nova_1445,2,Askaniia_Nova_1445_044,HumanObservation
Stipa ucrainica,Askaniia_Nova_1445,2,Askaniia_Nova_1445_045,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_046,HumanObservation
Trifolium arvense,Askaniia_Nova_1445,r,Askaniia_Nova_1445_047,HumanObservation
Ventenata dubia,Askaniia_Nova_1445,r,Askaniia_Nova_1445_048,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_1445,r,Askaniia_Nova_1445_049,HumanObservation
Viola kitaibeliana,Askaniia_Nova_1445,r,Askaniia_Nova_1445_050,HumanObservation
Achillea nobilis,Askaniia_Nova_1446,r,Askaniia_Nova_1446_001,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1446,r,Askaniia_Nova_1446_002,HumanObservation
Allium guttatum,Askaniia_Nova_1446,r,Askaniia_Nova_1446_003,HumanObservation
Artemisia austriaca,Askaniia_Nova_1446,r,Askaniia_Nova_1446_004,HumanObservation
Carex praecox,Askaniia_Nova_1446,r,Askaniia_Nova_1446_005,HumanObservation
Carex stenophylla,Askaniia_Nova_1446,r,Askaniia_Nova_1446_006,HumanObservation
Chenopodium album,Askaniia_Nova_1446,r,Askaniia_Nova_1446_007,HumanObservation
Consolida paniculata,Askaniia_Nova_1446,r,Askaniia_Nova_1446_008,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1446,r,Askaniia_Nova_1446_009,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1446,r,Askaniia_Nova_1446_010,HumanObservation
Dianthus andrzejowskianus,Askaniia_Nova_1446,r,Askaniia_Nova_1446_011,HumanObservation
Dianthus pallens,Askaniia_Nova_1446,r,Askaniia_Nova_1446_012,HumanObservation
Eryngium campestre,Askaniia_Nova_1446,r,Askaniia_Nova_1446_013,HumanObservation
Festuca valesiaca,Askaniia_Nova_1446,3,Askaniia_Nova_1446_014,HumanObservation
Galatella villosa,Askaniia_Nova_1446,r,Askaniia_Nova_1446_015,HumanObservation
Galium ruthenicum,Askaniia_Nova_1446,r,Askaniia_Nova_1446_016,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1446,r,Askaniia_Nova_1446_017,HumanObservation
Koeleria cristata,Askaniia_Nova_1446,1,Askaniia_Nova_1446_018,HumanObservation
Lactuca serriola,Askaniia_Nova_1446,r,Askaniia_Nova_1446_019,HumanObservation
Limonium sareptanum,Askaniia_Nova_1446,r,Askaniia_Nova_1446_020,HumanObservation
Linaria biebersteinii,Askaniia_Nova_1446,r,Askaniia_Nova_1446_021,HumanObservation
Medicago romanica,Askaniia_Nova_1446,r,Askaniia_Nova_1446_022,HumanObservation
Phlomis pungens,Askaniia_Nova_1446,r,Askaniia_Nova_1446_023,HumanObservation
Poa angustifolia,Askaniia_Nova_1446,r,Askaniia_Nova_1446_024,HumanObservation
Polygonum novoascanicum,Askaniia_Nova_1446,r,Askaniia_Nova_1446_025,HumanObservation
Potentilla recta,Askaniia_Nova_1446,r,Askaniia_Nova_1446_026,HumanObservation
Salvia aethiopis,Askaniia_Nova_1446,r,Askaniia_Nova_1446_027,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1446,r,Askaniia_Nova_1446_028,HumanObservation
Stipa capillata,Askaniia_Nova_1446,1,Askaniia_Nova_1446_029,HumanObservation
Stipa lessingiana,Askaniia_Nova_1446,2,Askaniia_Nova_1446_030,HumanObservation
Stipa ucrainica,Askaniia_Nova_1446,2,Askaniia_Nova_1446_031,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1446,r,Askaniia_Nova_1446_032,HumanObservation
Achillea nobilis,Askaniia_Nova_1447,r,Askaniia_Nova_1447_001,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1447,r,Askaniia_Nova_1447_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_1447,r,Askaniia_Nova_1447_003,HumanObservation
Carex praecox,Askaniia_Nova_1447,r,Askaniia_Nova_1447_004,HumanObservation
Consolida paniculata,Askaniia_Nova_1447,r,Askaniia_Nova_1447_005,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1447,r,Askaniia_Nova_1447_006,HumanObservation
Dianthus andrzejowskianus,Askaniia_Nova_1447,r,Askaniia_Nova_1447_007,HumanObservation
Dianthus pallens,Askaniia_Nova_1447,r,Askaniia_Nova_1447_008,HumanObservation
Eryngium campestre,Askaniia_Nova_1447,r,Askaniia_Nova_1447_009,HumanObservation
Festuca valesiaca,Askaniia_Nova_1447,3,Askaniia_Nova_1447_010,HumanObservation
Galatella villosa,Askaniia_Nova_1447,r,Askaniia_Nova_1447_011,HumanObservation
Galium ruthenicum,Askaniia_Nova_1447,r,Askaniia_Nova_1447_012,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1447,r,Askaniia_Nova_1447_013,HumanObservation
Koeleria cristata,Askaniia_Nova_1447,1,Askaniia_Nova_1447_014,HumanObservation
Limonium sareptanum,Askaniia_Nova_1447,r,Askaniia_Nova_1447_015,HumanObservation
Linaria biebersteinii,Askaniia_Nova_1447,r,Askaniia_Nova_1447_016,HumanObservation
Phlomis pungens,Askaniia_Nova_1447,r,Askaniia_Nova_1447_017,HumanObservation
Poa angustifolia,Askaniia_Nova_1447,r,Askaniia_Nova_1447_018,HumanObservation
Potentilla recta,Askaniia_Nova_1447,r,Askaniia_Nova_1447_019,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1447,r,Askaniia_Nova_1447_020,HumanObservation
Stipa capillata,Askaniia_Nova_1447,1,Askaniia_Nova_1447_021,HumanObservation
Stipa lessingiana,Askaniia_Nova_1447,2,Askaniia_Nova_1447_022,HumanObservation
Stipa ucrainica,Askaniia_Nova_1447,2,Askaniia_Nova_1447_023,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1448,1,Askaniia_Nova_1448_001,HumanObservation
Allium guttatum,Askaniia_Nova_1448,r,Askaniia_Nova_1448_002,HumanObservation
Allium paniculatum,Askaniia_Nova_1448,r,Askaniia_Nova_1448_003,HumanObservation
Alopecurus pratensis,Askaniia_Nova_1448,r,Askaniia_Nova_1448_004,HumanObservation
Arenaria uralensis,Askaniia_Nova_1448,r,Askaniia_Nova_1448_005,HumanObservation
Artemisia austriaca,Askaniia_Nova_1448,r,Askaniia_Nova_1448_006,HumanObservation
Bromus squarrosus,Askaniia_Nova_1448,r,Askaniia_Nova_1448_007,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1448,r,Askaniia_Nova_1448_008,HumanObservation
Camelina microcarpa,Askaniia_Nova_1448,r,Askaniia_Nova_1448_009,HumanObservation
Capsella bursa-pastoris,Askaniia_Nova_1448,r,Askaniia_Nova_1448_010,HumanObservation
Cardaria draba,Askaniia_Nova_1448,+,Askaniia_Nova_1448_011,HumanObservation
Carduus uncinatus,Askaniia_Nova_1448,r,Askaniia_Nova_1448_012,HumanObservation
Carex praecox,Askaniia_Nova_1448,r,Askaniia_Nova_1448_013,HumanObservation
Centaurea diffusa,Askaniia_Nova_1448,r,Askaniia_Nova_1448_014,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_1448,r,Askaniia_Nova_1448_015,HumanObservation
Chenopodium album,Askaniia_Nova_1448,r,Askaniia_Nova_1448_016,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1448,r,Askaniia_Nova_1448_017,HumanObservation
Crepis ramosissima,Askaniia_Nova_1448,r,Askaniia_Nova_1448_018,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1448,r,Askaniia_Nova_1448_019,HumanObservation
